ID,Nom_Produit,Marque,Code_Barres,Categorie,Energie_kJ,Energie_kcal,Acides_Gras_Satures_g,Sucres_g,Sodium_mg,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,Score_Nutriscore,Label_Nutriscore,Score_Greenscore,Label_Greenscore,Label_Bio,Nombre_Additifs,Liste_Additifs
136,Tropicana Multivitamines format familial 1.5 L,Tropicana,5410188011326,Jus de fruits,199.0,47.0,0.0,11.0,0.0,0.0,0.5,0.6,0,6,C,26.0,E,NON,0,
137,Fanta orange 1.5l,Fanta,5449000052926,Soda,203.0,48.0,0.0,11.7,0.0,0.0,0.0,0.0,0,13,E,,NOT-APPLICABLE,NON,1,e300
138,Boisson à l'avoine,Oatly,7394376615979,Boisson lactée,196.0,48.0,0.2,3.5,40.0,0.1,1.1,0.8,0,5,C,63.0,B,NON,0,
139,Boisson à l'avoine,Vemondo,4056489989356,Boisson lactée,154.0,37.0,0.2,3.3,32.0,0.08,0.4,1.0,0,5,C,77.0,A,OUI,0,
140,"Schweppes agrumes aux saveurs d'orange,🍊de pamplemousse, de citron vert & de mandarine",SchweppesOrangina Schweppes,3124480186898,Soda,101.0,24.0,0.0,5.7,4.0,0.01,0.0,0.0,0,10,E,,NOT-APPLICABLE,NON,6,"e14xx, e202, e330, e445, e950, e955"
141,Eau de source de montagne,Saguaro,40882475,Eau,0.1,0.1,0.1,0.1,440.0,1.1,0.1,0.1,0,5,A,,NOT-APPLICABLE,NON,0,
142,NECTAR Pêche,Valencia,6111251750034,Jus de fruits,188.0,45.0,0.0,8.9,0.0,0.0,0.3,0.0,0,8,D,18.0,E,NON,1,e330
143,Candy'Up Goût Chocolat🍫,Candia,3176571744289,Soda,263.0,62.0,0.6,9.7,36.0,0.09,3.2,0.6,0,6,C,29.0,E,NON,0,
144,Almond Breeze Unsweetened Low Fat Milk Alternative,Blue Diamond Almonds,41570080146,Boisson lactée,53.0,13.0,0.1,0.0,60.0,0.15,0.5,0.0,0,1,B,64.0,B,NON,3,"e322, e322i, e418"
145,Volvic Zest Citron,Volvic,3057640317743,Eau,19.0,4.0,0.0,0.9,4.0,0.01,0.0,0.0,0,1,B,,NOT-APPLICABLE,NON,1,e330
146,Thé noir glacé saveur pêche intense,Fuze Tea,5449000232465,Thé,80.0,19.0,0.0,4.3,12.0,0.03,0.0,0.0,0,4,C,68.0,B,NON,4,"e296, e300, e330, e331"
147,Jus de pomme,Lidl Solevita,4056489249603,Jus de fruits,192.0,45.0,0.0,10.0,4.0,0.01,0.5,0.0,0,5,C,60.0,B,NON,0,
148,Oat,"Vemondo, Lidl",4056489804673,Boisson lactée,173.0,41.2,0.2,3.12,48.0,0.12,0.32,0.6,0,5,C,57.0,C,NON,0,
149,Tesco Oat Drink,Tesco,5057753940317,Boisson lactée,199.0,47.0,0.2,4.2,40.0,0.1,0.5,0.7,0,6,C,57.0,C,NON,1,e418
150,Pétillante Saveur Citron vert,"Lidl, Saguaro",20656942,Eau,1.0,0.0,0.0,0.0,4.0,0.01,0.0,0.0,0,0,B,,NOT-APPLICABLE,NON,0,
151,Strawberries & Bananas,Innocent,5038862320108,Autre boisson,204.0,48.0,0.0,10.0,0.0,0.0,0.53,1.1,0,11,E,63.0,B,NON,0,
152,Blackcurrant Flavored Drink with Nata de Coco,Mogu Mogu,8850389115367,Eau,213.0,50.0,0.0,12.0,44.0,0.11,0.0,0.5,0,14,E,,NOT-APPLICABLE,NON,4,"e133, e211, e327, e330"
153,Aranciata Rossa (orange sanguine),"Nestlé, San Pellegrino",8002270506802,Soda,161.0,38.0,0.0,8.8,0.0,0.0,0.1,0.0,0,10,E,,NOT-APPLICABLE,NON,1,e290
154,Coca-Cola Original 0.5,Coca-Cola,59492573,Soda,180.0,42.0,0.0,10.6,0.0,0.0,0.0,0.0,0,12,E,,NOT-APPLICABLE,NON,3,"e150d, e290, e338"
155,Pj pomme pet 1l,Paquito,3250390880479,Jus de fruits,206.0,48.0,0.0,11.0,0.0,0.0,0.0,0.0,0,6,C,50.0,C,NON,0,
156,"Innocent myrtille, cassis, pomme, cranberry",Innocent,5038862139137,Jus de fruits,192.0,45.3,0.07,10.0,2.7,0.007,0.33,0.33,0,5,C,26.0,E,NON,0,
157,Lemon juice,Aldi,4088600099071,Jus de fruits,84.0,20.0,0.1,0.5,4.0,0.01,0.5,0.5,0,-5,B,31.0,D,NON,1,e224
158,Tropico,Tropico,5449000012814,Soda,129.0,30.0,8.0,7.2,0.0,0.0,0.0,0.0,0,15,E,,NOT-APPLICABLE,NON,3,"e296, e300, e330"
